City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,7.81,66,20,4.63,AR,1699597010
1,ribeira grande,38.5167,-28.7,20.99,96,58,9.39,PT,1699597284
2,albany,42.6001,-73.9662,6.56,82,100,2.46,US,1699597285
3,thompson,55.7435,-97.8558,-10.91,92,100,0.0,CA,1699597286
4,grytviken,-54.2811,-36.5092,1.87,95,100,2.79,GS,1699597287
5,sauk rapids,45.5919,-94.1661,1.99,76,100,4.63,US,1699597287
6,aykhal,66.0,111.5,-12.71,91,91,1.75,RU,1699597288
7,yellowknife,62.456,-114.3525,1.9,98,40,5.66,CA,1699597289
8,yoakum,29.2878,-97.1519,16.31,92,100,6.21,US,1699597265
9,sabang,5.8933,95.3214,27.67,79,100,5.93,ID,1699597289
10,waitangi,-43.9535,-176.5597,7.68,81,98,1.34,NZ,1699597290
11,kingston,17.997,-76.7936,29.53,83,20,2.57,JM,1699597146
12,ilulissat,69.2167,-51.1,-3.99,68,75,6.17,GL,1699597291
13,kendari,-3.945,122.4989,33.46,42,20,3.74,ID,1699597292
14,revda,56.801,59.9303,3.07,82,100,4.93,RU,1699597292
15,khandyga,62.6667,135.6,-26.99,99,97,0.56,RU,1699597292
16,edinburgh of the seven seas,-37.0676,-12.3116,11.98,68,54,3.13,SH,1699597292
17,camabatela,-8.1881,15.375,19.02,96,100,1.12,AO,1699597293
18,tayshet,55.9342,98.0044,-6.14,57,4,4.53,RU,1699597293
19,iqaluit,63.7506,-68.5145,-10.15,72,40,3.09,CA,1699597294
20,isafjordur,66.0755,-23.124,0.08,81,19,1.55,IS,1699597295
21,waingapu,-9.6567,120.2641,31.28,60,60,4.41,ID,1699597295
22,mangalia,43.8,28.5833,12.82,67,2,4.76,RO,1699597296
23,nadym,65.5333,72.5167,-2.33,93,89,6.72,RU,1699597296
24,san-pedro,4.7485,-6.6363,23.96,93,80,2.26,CI,1699597296
25,blackmans bay,-43.0167,147.3167,18.62,75,95,0.89,AU,1699597297
26,bethel,41.3712,-73.414,7.93,86,0,0.0,US,1699597155
27,sandnessjoen,66.0217,12.6316,3.06,70,0,4.63,NO,1699597297
28,ad dilam,23.9915,47.1627,25.23,32,100,1.16,SA,1699597298
29,sinabang,2.4803,96.3801,28.23,76,99,0.71,ID,1699597299
30,arno,60.1167,18.6333,7.1,98,100,2.45,SE,1699597299
31,natal,-5.795,-35.2094,26.12,78,40,4.12,BR,1699597299
32,olonkinbyen,70.9221,-8.7187,-2.15,65,100,2.1,SJ,1699597300
33,anadyr,64.75,177.4833,-9.72,67,40,6.0,RU,1699597300
34,jayapura,-2.5333,140.7,32.66,81,100,4.63,ID,1699597301
35,kangding,30.0513,101.9603,14.03,54,12,1.49,CN,1699597301
36,jamestown,42.097,-79.2353,8.77,62,0,5.14,US,1699597269
37,bayou cane,29.6241,-90.7512,20.56,95,100,3.09,US,1699597301
38,callao,-12.0667,-77.15,20.4,82,100,5.66,PE,1699597302
39,murudeshwara,14.0943,74.4845,30.43,64,62,0.88,IN,1699597302
40,murashi,59.3999,48.9615,2.03,93,100,4.35,RU,1699597303
41,nuuk,64.1835,-51.7216,-3.66,80,100,2.57,GL,1699597208
42,adamstown,-25.066,-130.1015,22.49,83,100,6.43,PN,1699597303
43,dalai,45.5,124.3,-4.85,62,27,3.91,CN,1699597304
44,edeia,-17.3383,-49.9314,23.42,36,91,1.82,BR,1699597304
45,kaihua,23.3687,104.28,23.89,60,60,4.54,CN,1699597304
46,papao,-17.75,-149.55,26.82,82,34,4.59,PF,1699597305
47,kudamatsu,34.0,131.8667,18.98,92,100,3.9,JP,1699597305
48,santa ana de yacuma,-13.75,-65.4333,27.03,61,98,1.56,BO,1699597306
49,katsuren-haebaru,26.3369,127.8719,27.21,69,40,4.12,JP,1699597307
50,port-aux-francais,-49.35,70.2167,6.24,97,100,13.67,TF,1699597308
51,al muwayh,22.4333,41.7583,22.91,29,85,7.67,SA,1699597308
52,la'ie,21.6477,-157.9253,26.66,77,26,3.13,US,1699597309
53,atafu village,-8.5421,-172.5159,29.24,74,96,4.41,TK,1699597310
54,puerto natales,-51.7236,-72.4875,0.75,93,51,1.55,CL,1699597310
55,isangel,-19.55,169.2667,26.06,69,75,4.12,VU,1699597311
56,puerto ayora,-0.7393,-90.3518,24.75,93,95,4.02,EC,1699597311
57,bayganin,48.6947,55.8742,9.56,62,100,9.95,KZ,1699597312
58,laguna,38.421,-121.4238,11.71,81,0,1.54,US,1699597312
59,iskateley,67.6803,53.1512,-8.79,92,47,3.26,RU,1699597312
60,wailua homesteads,22.0669,-159.378,25.44,81,40,9.26,US,1699597313
61,richards bay,-28.783,32.0377,22.04,69,7,2.67,ZA,1699597313
62,rantoul,40.3084,-88.1559,7.75,60,0,3.09,US,1699597313
63,xapuri,-10.6517,-68.5044,24.15,81,62,1.27,BR,1699597313
64,uturoa,-16.7333,-151.4333,26.37,85,52,5.95,PF,1699597314
65,kodiak,57.79,-152.4072,-0.27,64,100,2.57,US,1699597249
66,tual,-5.6667,132.75,28.03,76,62,3.08,ID,1699597315
67,nar'yan-mar,67.6713,53.087,-8.78,92,43,3.28,RU,1699597315
68,peniche,39.3558,-9.3811,14.14,75,86,3.21,PT,1699597224
